id,status,path,bytes,sha256,final_url,error
EP04B_PORTRAIT_003,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\PORTRAITS\EP04B_Annie_Besant_c1897_LOC_PD.jpg,1413814,122126f683e01a438cdc1f6217109e621e52650f1df11f48c9b4752b31fdec01,https://upload.wikimedia.org/wikipedia/commons/4/4c/Annie_Besant%2C_half-length_portrait%2C_seated%2C_facing_slightly_right_LCCN91786293.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_GROUP_002,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\ADYAR_GATHERINGS\EP04B_TS_Convention_Adyar_1883_CC-BY-3.0.jpg,80626,8663e4853f214d3695f2a18de8531daa913644058272fc81700d9b0e2808fe2d,https://upload.wikimedia.org/wikipedia/commons/8/84/1st-TS-convention_Adyar-Madras-1883.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_PLACE_001,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\ADYAR\EP04B_Adyar_HQ_1890_PD.jpg,57327,dad71cfdb9212e1d71edbb73a87c63b2048e387ba233e63d79d27339455c53b8,https://upload.wikimedia.org/wikipedia/commons/5/5a/Adyar_TG.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_PLACE_002,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\ADYAR\EP04B_Adyar_Library_1920_PD.jpg,2604969,adacb9023bc1cf5af92e93ccf38ff3bee838a85b0f3e81b1d32098b257c96193,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Library_building_at_Theosophical_Society%2C_Adyar_from_Grandhalaya_Sarvasvamu.jpg/3840px-Library_building_at_Theosophical_Society%2C_Adyar_from_Grandhalaya_Sarvasvamu.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,
EP04B_PLACE_003,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\02_REVIEW_YELLOW\ADYAR\EP04B_Adyar_current_CC-BY-SA-2.0.jpg,454091,6862502842808e827f1259419e46ec2aee4ec366622ad595e825fb8fb99607a6,https://upload.wikimedia.org/wikipedia/commons/c/cf/The_Theosophical_Society_%286708431041%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_PLACE_004,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\02_REVIEW_YELLOW\ADYAR\EP04B_Adyar_Banyan_CC-BY-SA-2.0.jpg,589081,f9020cff87d4b4297e2057a932dc949123ae06fa6e2894194ace06bf321796f9,https://upload.wikimedia.org/wikipedia/commons/4/4e/Banyan_Tree_%286708442469%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_PLACE_005,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\CALCUTTA\EP04B_Calcutta_High_Court_Frith_PD.jpg,130248,1c24189f32cd991f6c713bee15e0aa4a85c0ea298a5af758d69ae853d7f394a6,https://upload.wikimedia.org/wikipedia/commons/2/23/High_Court_of_Calcutta_%28Third_view%29_by_Francis_Frith.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_001,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_7_Chakras_Combined_1927_PD.jpg,94537,644b08468f238c1b2c199c890fdb5ad42ce5137b4e51609d5d7d89a62231b076,https://upload.wikimedia.org/wikipedia/commons/d/d0/7_Chakras_Combined_Reordered.JPG?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_002,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Chakras_Pictures_1927_PD.jpg,860560,9f9e93d90e57300b03abc89df00dd966e2e4f252f6c3768e979f83f3918bf8a4,https://upload.wikimedia.org/wikipedia/commons/b/be/Leadbeater%27s_Chakras_Pictures.JPG?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
EP04B_CHAKRA_003,DOWNLOADED,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\LEADBEATER_PLATES\EP04B_Leadbeater_Root_1927_PD.jpg,50967,8ee5d68bfb374bf035e9384b86879c570b6366069542c6cebb39e7e7b84334fc,https://upload.wikimedia.org/wikipedia/commons/3/31/Chakraroot.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail_unscaled,
